Name,Email,Phone,WhatsApp Number,Status,Source,Budget Min,Budget Max,Preferred Location,Property Type,Bedroom,Tier,Notes
Lead User 1,lead1@example.com,9000000000,9000000000,contacted,facebook,3000000,5700000,Delhi,1 BHK,4,low,Auto-generated lead 1 interested in 1 BHK at Delhi.
Lead User 2,lead2@example.com,9000000001,9000000001,new,website,3100000,7900000,Mumbai,Villa,4,low,Auto-generated lead 2 interested in Villa at Mumbai.
Lead User 3,lead3@example.com,9000000002,9000000002,qualified,facebook,4700000,8100000,Mumbai,3 BHK,1,medium,Auto-generated lead 3 interested in 3 BHK at Mumbai.
Lead User 4,lead4@example.com,9000000003,9000000003,contacted,referral,4100000,8400000,Pune,1 BHK,1,low,Auto-generated lead 4 interested in 1 BHK at Pune.
Lead User 5,lead5@example.com,9000000004,9000000004,contacted,google_ads,7400000,9000000,Pune,2 BHK,2,low,Auto-generated lead 5 interested in 2 BHK at Pune.
Lead User 6,lead6@example.com,9000000005,9000000005,new,facebook,5400000,8200000,Hyderabad,3 BHK,2,low,Auto-generated lead 6 interested in 3 BHK at Hyderabad.
Lead User 7,lead7@example.com,9000000006,9000000006,qualified,facebook,7400000,10500000,Delhi,3 BHK,4,medium,Auto-generated lead 7 interested in 3 BHK at Delhi.
Lead User 8,lead8@example.com,9000000007,9000000007,new,website,3800000,5700000,Hyderabad,Penthouse,2,high,Auto-generated lead 8 interested in Penthouse at Hyderabad.
Lead User 9,lead9@example.com,9000000008,9000000008,new,facebook,3100000,5300000,Bangalore,3 BHK,1,medium,Auto-generated lead 9 interested in 3 BHK at Bangalore.
Lead User 10,lead10@example.com,9000000009,9000000009,qualified,website,5100000,9600000,Hyderabad,1 BHK,4,low,Auto-generated lead 10 interested in 1 BHK at Hyderabad.
Lead User 11,lead11@example.com,9000000010,9000000010,lost,referral,6000000,8200000,Bangalore,2 BHK,1,medium,Auto-generated lead 11 interested in 2 BHK at Bangalore.
Lead User 12,lead12@example.com,9000000011,9000000011,lost,facebook,3800000,8800000,Delhi,4 BHK,4,high,Auto-generated lead 12 interested in 4 BHK at Delhi.
Lead User 13,lead13@example.com,9000000012,9000000012,new,referral,4500000,9200000,Hyderabad,4 BHK,3,high,Auto-generated lead 13 interested in 4 BHK at Hyderabad.
Lead User 14,lead14@example.com,9000000013,9000000013,contacted,facebook,6400000,9300000,Delhi,Penthouse,1,high,Auto-generated lead 14 interested in Penthouse at Delhi.
Lead User 15,lead15@example.com,9000000014,9000000014,new,google_ads,4400000,8500000,Hyderabad,Penthouse,4,medium,Auto-generated lead 15 interested in Penthouse at Hyderabad.
Lead User 16,lead16@example.com,9000000015,9000000015,new,facebook,4300000,6600000,Pune,Villa,2,low,Auto-generated lead 16 interested in Villa at Pune.
Lead User 17,lead17@example.com,9000000016,9000000016,qualified,google_ads,7900000,11000000,Bangalore,3 BHK,4,low,Auto-generated lead 17 interested in 3 BHK at Bangalore.
Lead User 18,lead18@example.com,9000000017,9000000017,contacted,website,6100000,8600000,Hyderabad,2 BHK,4,high,Auto-generated lead 18 interested in 2 BHK at Hyderabad.
Lead User 19,lead19@example.com,9000000018,9000000018,contacted,website,5800000,7700000,Hyderabad,3 BHK,5,low,Auto-generated lead 19 interested in 3 BHK at Hyderabad.
Lead User 20,lead20@example.com,9000000019,9000000019,lost,facebook,6700000,10900000,Hyderabad,3 BHK,4,medium,Auto-generated lead 20 interested in 3 BHK at Hyderabad.
Lead User 21,lead21@example.com,9000000020,9000000020,new,facebook,7100000,11700000,Pune,4 BHK,2,medium,Auto-generated lead 21 interested in 4 BHK at Pune.
Lead User 22,lead22@example.com,9000000021,9000000021,contacted,google_ads,6800000,10300000,Bangalore,Penthouse,4,high,Auto-generated lead 22 interested in Penthouse at Bangalore.
Lead User 23,lead23@example.com,9000000022,9000000022,new,facebook,4900000,8700000,Bangalore,2 BHK,3,medium,Auto-generated lead 23 interested in 2 BHK at Bangalore.
